Physical Core,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:TOPDOWN.SLOTS,Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED,Hardware Event Count:UOPS_RETIRED.SLOTS
core_38,317784000000,237072000000,699888000000,1554802332200,319920000000,724181086270
core_18,248904000000,191256000000,459744000000,1212141818210,250152000000,486740730110
core_36,239664000000,182136000000,487992000000,1171501757250,241488000000,508640762960
core_71,234624000000,178296000000,475536000000,1145701718550,235488000000,501400752100
core_16,233496000000,183504000000,478512000000,1150561725840,236136000000,504420756630
core_24,228648000000,178824000000,441168000000,1119901679850,230904000000,464000696000
core_6,225960000000,174384000000,460272000000,1114141671210,226200000000,485280727920
core_43,225288000000,171720000000,447120000000,1090741636110,226176000000,469920704880
core_7,220608000000,173760000000,428976000000,1090621635930,222864000000,450480675720
core_0,219096000000,168600000000,371112000000,1068881603320,219888000000,392740589110
core_45,218352000000,166848000000,451344000000,1059441589160,219624000000,473000709500
core_41,217440000000,167328000000,443712000000,1061101591650,220152000000,466360699540
core_27,216504000000,169392000000,444720000000,1067041600560,216552000000,468540702810
core_67,214176000000,164568000000,426432000000,1040041560060,214920000000,449480674220
core_65,212352000000,162696000000,400992000000,1039681559520,213000000000,421840632760
core_19,208152000000,165000000000,415488000000,1025701538550,210624000000,438560657840
core_55,207984000000,159888000000,402672000000,1017241525860,209256000000,424200636300
core_49,205752000000,159360000000,404112000000,999921499880,207864000000,425360638040
core_20,201960000000,157104000000,393648000000,993901490850,202704000000,415080622620
core_31,201024000000,158256000000,403296000000,997201495800,201816000000,425480638220
core_37,197688000000,152256000000,381216000000,963781445670,198648000000,402240603360
core_3,197616000000,155880000000,396768000000,970321455480,198984000000,419480629220
core_39,196488000000,151320000000,386880000000,960421440630,196944000000,408040612060
core_56,196440000000,152016000000,371616000000,957421436130,197208000000,392240588360
core_2,195840000000,154272000000,392880000000,955261432890,197496000000,415160622740
core_69,195264000000,150840000000,389712000000,952621428930,196320000000,410080615120
core_48,192000000000,148704000000,380688000000,933481400220,192408000000,401040601560
core_22,189024000000,150240000000,382368000000,940501410750,190536000000,403080604620
core_33,188952000000,149640000000,384720000000,920101380150,190608000000,405680608520
core_11,186984000000,147744000000,339456000000,916681375020,187392000000,356920535380
core_23,184536000000,147168000000,357120000000,897781346670,185472000000,376840565260
core_57,183312000000,141096000000,351696000000,876481314720,184392000000,371480557220
core_52,182088000000,143808000000,363840000000,881261321890,183000000000,384700577050
core_54,177024000000,135360000000,336960000000,842221263330,177960000000,356320534480
core_25,173928000000,132744000000,234120000000,853021279530,174504000000,249600374400
core_15,173376000000,139272000000,337104000000,839521259280,174408000000,355880533820
core_47,168648000000,132048000000,326736000000,802981204470,169248000000,345560518340
core_34,168288000000,137208000000,334800000000,809581214370,169368000000,354600531900
core_66,165696000000,134040000000,318816000000,808801213200,166416000000,338000507000
core_59,163008000000,128232000000,309024000000,782821174230,163512000000,326880490320
core_14,159984000000,128064000000,323424000000,777901166850,160344000000,341240511860
core_21,157800000000,127704000000,309696000000,757021135530,158208000000,328000492000
core_10,157224000000,126648000000,308400000000,778321167480,158352000000,326760490140
core_58,155928000000,123120000000,298464000000,762961144440,156888000000,315560473340
core_1,154824000000,122256000000,307272000000,756881135320,155328000000,326200489300
core_8,153696000000,123912000000,309552000000,757381136070,154632000000,326680490020
core_68,148608000000,116256000000,290592000000,713821070730,149328000000,309040463560
core_4,147120000000,118752000000,280848000000,719401079100,147696000000,297640446460
core_70,146952000000,115152000000,287568000000,710101065150,147384000000,305120457680
core_60,145608000000,114552000000,280176000000,697141045710,145680000000,296720445080
core_13,137808000000,111000000000,285888000000,671941007910,139560000000,303320454980
core_46,137064000000,107928000000,256944000000,647520971280,138000000000,273000409500
core_40,132192000000,103872000000,250320000000,620280930420,132912000000,265960398940
core_62,131616000000,102768000000,249600000000,645120967680,132432000000,264080396120
core_28,130656000000,106536000000,261648000000,636900955350,130752000000,277960416940
core_30,130128000000,106536000000,254208000000,627180940770,131064000000,269960404940
core_42,128304000000,100968000000,249936000000,603000904500,129168000000,266000399000
core_44,127536000000,100992000000,245520000000,623520935280,129120000000,259920389880
core_63,126192000000,98880000000,233184000000,597900896850,126480000000,247800371700
core_64,125064000000,98904000000,242736000000,619440929160,125712000000,259000388500
core_9,121368000000,98832000000,238848000000,586320879480,121608000000,253840380760
core_26,121296000000,99096000000,237552000000,598200897300,122160000000,251300376950
core_17,120960000000,99000000000,232656000000,581460872190,121512000000,246040369060
core_61,117384000000,93072000000,221328000000,577500866250,117600000000,235000352500
core_35,116448000000,96912000000,231312000000,572820859230,118392000000,245720368580
core_5,114504000000,94536000000,228096000000,565200847800,116088000000,243200364800
core_12,114000000000,93504000000,220272000000,547140820710,114888000000,234120351180
core_32,112344000000,92160000000,225696000000,543540815310,112656000000,240520360780
core_51,111696000000,88920000000,222384000000,527580791370,112992000000,237160355740
core_50,109680000000,86928000000,216240000000,524160786240,111048000000,230760346140
core_29,101040000000,82992000000,205440000000,487140730710,101664000000,219400329100
core_53,92040000000,73992000000,176064000000,434600651900,92184000000,187540281310
