thread_id,items,simulate_s,range_s,other_s
0,349,3.6170,7.2908,3.6738
1,348,3.6409,7.1551,3.5142
2,349,3.7049,6.7644,3.0595
3,348,3.6156,7.2139,3.5982
4,348,3.7048,7.1877,3.4829
5,349,3.7326,6.3194,2.5869
6,349,3.6158,7.3126,3.6968
7,348,3.7163,6.1255,2.4093
8,348,3.7956,7.5908,3.7952
9,349,3.0290,6.9518,3.9228
10,349,4.0146,6.2639,2.2493
11,349,3.6700,4.5385,0.8685
12,349,3.6579,7.1377,3.4798
13,348,3.9326,5.0595,1.1269
14,348,3.8095,8.0643,4.2548
15,348,3.9190,5.4676,1.5486
16,348,3.8344,4.8661,1.0316
17,349,4.0514,6.8480,2.7967
18,348,3.6625,7.6107,3.9482
19,348,3.4039,4.1725,0.7686
20,348,4.2270,6.3027,2.0758
21,348,3.7048,7.6040,3.8992
22,348,3.8223,6.6602,2.8379
23,349,3.8397,5.9092,2.0694
24,349,3.9321,5.4759,1.5438
25,348,3.3589,7.2086,3.8496
26,349,4.2204,5.5446,1.3243
27,348,3.8418,7.4037,3.5619
28,348,3.8931,5.2233,1.3302
29,348,3.7364,6.4935,2.7570
30,348,3.7532,4.5261,0.7729
31,348,3.9111,5.7639,1.8528
32,349,3.9219,5.5672,1.6452
33,348,3.9388,5.5027,1.5639
34,348,3.7930,4.8768,1.0838
35,348,3.8345,4.8553,1.0208
36,348,3.9708,7.4119,3.4411
37,348,3.8304,5.2417,1.4114
38,349,4.0364,5.8218,1.7853
39,348,3.8645,6.8230,2.9585
40,348,3.9305,5.2685,1.3381
41,349,3.7800,7.0982,3.3182
42,349,4.0273,5.3777,1.3504
43,349,3.8613,4.7490,0.8878
44,348,3.5023,4.1162,0.6140
45,349,3.9451,5.6845,1.7394
46,349,4.0412,5.4538,1.4126
47,349,2.4325,6.3647,3.9322
48,348,3.0888,7.5224,4.4336
49,348,3.7212,6.2395,2.5184
50,348,3.9034,7.2974,3.3940
51,348,4.1238,6.4080,2.2842
52,349,4.0834,7.2800,3.1966
53,348,3.7972,6.2005,2.4033
54,348,3.8291,6.0242,2.1951
55,349,3.6604,7.6682,4.0079
56,348,3.8892,5.6942,1.8050
57,348,3.6689,6.7232,3.0543
58,349,3.8503,6.0873,2.2370
59,349,3.6164,6.9178,3.3014
60,348,4.2116,6.6723,2.4607
61,348,4.2139,5.5574,1.3434
62,348,3.4241,7.4860,4.0618
63,348,3.8666,8.1047,4.2381
64,348,4.0582,5.1333,1.0751
65,349,3.8847,7.4941,3.6094
66,349,3.8745,8.1554,4.2809
67,349,4.0292,5.3061,1.2769
68,349,3.5642,7.2222,3.6581
69,348,3.6515,6.8302,3.1787
70,349,3.9308,6.9121,2.9813
71,348,4.0754,6.7934,2.7179
