bin_start_s,bin_end_s,baseline_utilization_pct,tbb_utilization_pct
0.0,6.0,0.6,1.01
6.0,12.0,1.48,1.49
12.0,18.0,1.5,1.51
18.0,24.0,1.55,1.55
24.0,30.0,1.57,1.59
30.0,36.0,1.63,1.65
36.0,42.001,1.73,1.74
42.001,48.001,1.8,1.84
48.001,54.001,1.92,27.38
54.001,60.001,82.82,83.7
60.001,66.001,92.95,88.59
66.001,72.001,95.2,90.19
72.001,78.001,98.57,88.32
78.001,84.001,91.84,89.39
84.001,90.001,93.46,87.1
90.001,96.001,87.0,77.88
96.001,102.001,68.9,64.4
102.001,108.001,53.66,51.46
108.001,114.001,47.65,47.76
114.001,120.001,60.59,68.88
120.001,126.002,74.71,80.4
126.002,132.002,77.02,80.98
132.002,138.002,66.6,82.81
138.002,144.002,62.32,73.87
144.002,150.002,60.62,59.94
150.002,156.002,54.39,53.65
156.002,162.002,53.5,48.55
162.002,168.002,40.05,33.09
168.002,174.002,34.49,43.41
174.002,180.002,68.78,58.67
