thread_id,items,simulate_s,range_s,other_s
0,3129,0.6799,0.6870,0.0071
1,3128,0.6649,0.6715,0.0066
2,2942,0.6572,0.6645,0.0073
3,2935,0.6505,0.6572,0.0067
4,2939,0.6463,0.6526,0.0063
5,2951,0.6648,0.6714,0.0066
6,3352,0.6637,0.6709,0.0072
7,3133,0.6574,0.6642,0.0067
8,3143,0.6809,0.6882,0.0073
9,3330,0.6594,0.6653,0.0059
10,3328,0.7052,0.7123,0.0071
11,3330,0.6667,0.6734,0.0067
12,2937,0.6516,0.6587,0.0070
13,3135,0.6797,0.6862,0.0065
14,3525,0.6812,0.6877,0.0065
15,2942,0.6728,0.6795,0.0067
16,2941,0.6465,0.6530,0.0066
17,3138,0.6815,0.6891,0.0075
18,2935,0.6497,0.6563,0.0066
19,3133,0.6785,0.6857,0.0071
20,3138,0.6744,0.6810,0.0066
21,2942,0.6540,0.6611,0.0071
22,3135,0.6806,0.6879,0.0073
23,3136,0.6543,0.6608,0.0066
24,3138,0.6870,0.6938,0.0068
25,3130,0.6797,0.6867,0.0070
26,3129,0.6704,0.6768,0.0064
27,3334,0.6910,0.6975,0.0065
28,2937,0.6591,0.6659,0.0068
29,3131,0.6642,0.6709,0.0066
30,3328,0.7084,0.7158,0.0074
31,3139,0.6811,0.6885,0.0074
32,2939,0.6453,0.6523,0.0070
33,2936,0.6458,0.6521,0.0063
34,2353,0.6878,0.6931,0.0053
35,3131,0.6795,0.6873,0.0079
36,3135,0.6839,0.6909,0.0070
37,3137,0.6945,0.7017,0.0073
38,2939,0.6548,0.6615,0.0067
39,3344,0.6785,0.6850,0.0065
40,3138,0.6738,0.6814,0.0076
41,3339,0.7047,0.7122,0.0075
42,3137,0.6869,0.6941,0.0072
43,3135,0.6822,0.6890,0.0067
44,3335,0.6801,0.6880,0.0079
45,3530,0.6597,0.6659,0.0062
46,3138,0.6681,0.6754,0.0073
47,3721,0.6851,0.6917,0.0066
48,3324,0.6969,0.7045,0.0076
49,3134,0.6707,0.6782,0.0075
50,3329,0.6750,0.6822,0.0071
51,3133,0.6635,0.6707,0.0073
52,2938,0.6513,0.6583,0.0069
53,3134,0.6512,0.6582,0.0070
54,3133,0.6779,0.6852,0.0074
55,3132,0.6603,0.6672,0.0069
56,3134,0.6714,0.6785,0.0071
57,3148,0.6729,0.6799,0.0070
58,3126,0.6613,0.6688,0.0076
59,3131,0.6730,0.6802,0.0072
60,3136,0.6771,0.6841,0.0070
61,3137,0.6534,0.6608,0.0074
62,3147,0.6760,0.6835,0.0075
63,3137,0.6636,0.6714,0.0078
64,3135,0.6729,0.6804,0.0075
65,3128,0.6724,0.6799,0.0075
66,3136,0.6939,0.7014,0.0076
67,2938,0.6455,0.6524,0.0069
68,3137,0.6739,0.6814,0.0075
69,3142,0.6735,0.6816,0.0080
70,3130,0.6771,0.6837,0.0067
71,3336,0.6682,0.6752,0.0070
