implementation,job_id,node,result_dir,memory_bound_pct,l1_bound_pct,l2_bound_pct,l3_bound_pct,dram_bound_pct,store_bound_pct,loads,stores,llc_miss_count
tbb_naive,66251805,jbm011,r_membw_tbb_20260827_113503,49.7,4.5,2.3,12.7,2.3,3.5,14019401641251,5062425628806,178706280728
tbb_naive,66252104,jbm011,r_membw_tbb_20260827_115746,50.3,4.5,2.3,12.6,2.3,3.5,14160530571249,5116100518598,180875715517
tbb_naive,66252252,jbm011,r_membw_tbb_20260827_121710,51.3,4.5,2.4,12.7,2.3,3.5,14204867654203,5132454522831,182197195664
tiled_final,66252325,jbm011,r_membw_final_20260827_123705,33.3,5.2,5.2,17.1,1.8,0.1,2150332697164,728971442285,27844938238
tiled_final,66252450,jbm011,r_membw_final_20260827_131208,31.5,5.3,4.7,16.1,1.6,0.1,2149729033250,728509440172,28047573609
tiled_final,66252637,jbm011,r_membw_final_20260827_141843,33.1,5.1,5.3,17.3,1.8,0.1,2150039025827,728700699237,27466269010
tbb_fixed,66253430,jbm011,r_membw_tbb_20260827_150406,46.1,2.6,7.5,8.9,11.2,7.1,4453191761044,1663205079337,33530102613
tbb_fixed,66254260,jbm011,r_membw_tbb_20260827_152701,46.5,2.6,7.2,9.0,11.1,7.3,4456699228977,1660186462365,34261697176
tbb_fixed,66254261,jbm011,r_membw_tbb_20260827_153245,46.1,2.7,7.0,9.1,10.7,7.0,4451089818915,1661050985875,34307209147
tbb_fixed,66255380,jbm033,r_membw_tbb_20260827_162841,48.3,2.8,6.5,8.8,10.6,7.0,4444536029620,1654091599132,34149207204
tbb_fixed,66255381,jbm033,r_membw_tbb_20260827_163809,41.9,2.8,6.5,8.7,10.7,6.7,4437154373492,1653048205408,34041803571
tbb_fixed,66255382,jbm033,r_membw_tbb_20260827_164743,44.1,2.7,6.6,9.2,10.6,6.8,4455356691047,1660908714200,34052166023
tiled_final,66255383,jbm033,r_membw_final_20260827_165706,32.0,5.0,5.1,16.9,1.7,0.1,2150680645280,728196706164,27737084656
tiled_final,66255384,jbm033,r_membw_final_20260827_170402,32.4,5.0,5.0,16.8,1.7,0.2,2150025409324,728291997413,28020418027
tiled_final,66256005,jbm033,r_membw_final_20260827_172622,33.3,4.9,5.4,17.6,1.8,0.1,2150976534621,729348497906,27903480629
static_baseline,66263012,jst151,r_membw_baseline_20260828_150107,49.1,4.5,4.7,8.2,8.4,5.6,3968373922424,1536882433942,32324469503
tbb_fixed,66263012,jst151,r_membw_tbb_20260828_150920,47.3,2.7,7.1,8.4,11.4,7.8,4443851143306,1658119464185,33755860848
tiled_final,66263012,jst151,r_membw_final_20260828_151759,30.7,5.1,4.7,16.3,1.6,0.2,2151629792676,729298876884,27986754726
static_baseline,66264577,jbm026,r_membw_baseline_20260828_154233,45.9,4.4,4.6,8.0,8.1,5.3,3976492427506,1542279163278,32518737063
tbb_fixed,66264577,jbm026,r_membw_tbb_20260828_154834,46.2,2.7,7.1,8.9,11.1,6.9,4440668736090,1652757744932,34353026720
tiled_final,66264577,jbm026,r_membw_final_20260828_155338,31.8,5.0,5.5,17.9,1.8,0.1,2147314200662,727743902666,28132562042
static_baseline,66264577,jbm026,r_membw_baseline_20260828_155710,53.1,4.0,4.9,8.2,8.5,5.7,3976858948025,1543928947021,32716689893
tbb_fixed,66264577,jbm026,r_membw_tbb_20260828_160203,44.3,2.7,6.9,9.0,10.4,6.5,4448440129633,1664016151863,34025909641
tiled_final,66264577,jbm026,r_membw_final_20260828_160700,31.6,4.9,5.5,17.9,1.8,0.1,2149912570944,727882823090,27805685992
static_baseline,66264577,jbm026,r_membw_baseline_20260828_161031,43.8,4.2,5.0,8.2,8.7,5.7,3986138478318,1543187648633,32707069932
tiled_final,66264577,jbm026,r_membw_final_20260828_161652,30.7,5.0,5.1,17.1,1.7,0.1,2150087012668,727968343376,27566452844
