thread_id,items,simulate_s,range_s,other_s
0,324,3.5891,7.7299,4.1408
1,375,3.7194,7.7194,4.0000
2,408,3.9588,7.7242,3.7654
3,350,3.8643,7.7267,3.8624
4,291,3.5294,7.7153,4.1859
5,249,2.7748,7.7341,4.9593
6,423,4.3176,7.7439,3.4263
7,374,3.7686,7.7190,3.9504
8,383,3.8669,7.7247,3.8578
9,273,3.5063,7.7289,4.2226
10,428,4.6897,7.7306,3.0409
11,329,3.8140,7.7237,3.9098
12,349,4.0162,7.7069,3.6906
13,355,3.5684,7.7218,4.1534
14,498,4.9641,7.7102,2.7461
15,398,3.8746,7.7310,3.8563
16,381,3.8090,7.7107,3.9017
17,327,4.0093,7.7270,3.7176
18,397,3.7475,7.7121,3.9646
19,344,3.5953,7.7261,4.1309
20,440,4.0292,7.7189,3.6897
21,346,4.2344,7.7066,3.4722
22,411,4.8045,7.7177,2.9132
23,380,3.5233,7.7042,4.1809
24,386,3.7401,7.7240,3.9839
25,371,4.2835,7.7298,3.4462
26,350,4.0777,7.7293,3.6516
27,340,3.8147,7.7213,3.9066
28,318,3.7310,7.7216,3.9906
29,422,5.1618,7.7169,2.5551
30,367,4.4183,7.7165,3.2982
31,352,3.9950,7.7179,3.7229
32,320,3.5436,7.7074,4.1638
33,327,3.7885,7.7101,3.9217
34,311,3.6002,7.7135,4.1134
35,360,4.2335,7.7185,3.4850
36,300,3.5440,7.7201,4.1761
37,351,3.8900,7.7182,3.8281
38,364,4.0995,7.7150,3.6154
39,402,4.6520,7.7313,3.0793
40,318,3.3497,7.7108,4.3611
41,348,4.0731,7.7301,3.6570
42,345,3.9366,7.7155,3.7788
43,334,3.8552,7.7313,3.8761
44,371,4.3518,7.7204,3.3686
45,380,4.2684,7.7358,3.4674
46,336,3.9165,7.7267,3.8102
47,367,4.2416,7.7259,3.4843
48,329,3.8639,7.7212,3.8572
49,359,4.2046,7.7090,3.5045
50,355,4.0071,7.7233,3.7162
51,347,4.2699,7.7256,3.4556
52,358,4.1387,7.7172,3.5785
53,360,4.0630,7.7362,3.6732
54,297,3.6326,7.7176,4.0850
55,312,3.7927,7.7191,3.9264
56,319,3.9131,7.7198,3.8066
57,418,4.8328,7.7190,2.8862
58,315,3.6201,7.7128,4.0927
59,358,4.4402,7.7194,3.2792
60,305,3.6835,7.7059,4.0224
61,320,3.9154,7.7209,3.8055
62,320,3.8394,7.7095,3.8702
63,350,4.2864,7.7227,3.4363
64,301,3.6768,7.7199,4.0432
65,304,3.1457,7.7108,4.5651
66,293,3.7081,7.7221,4.0140
67,306,3.6663,7.7246,4.0584
68,256,3.1742,7.7307,4.5564
69,283,3.4441,7.7270,4.2830
70,330,4.1558,7.7193,3.5635
71,317,4.0748,7.7134,3.6386
